Test,Animal,Experiment,Stage,Trial,P4_tget_latency_to_first_entry,Distance(m),Path_efficiency,Q1_entries,Q1_time,Q1_distance,Q1_mean_visit,Q2_entries,Q2_time,Q2_distance,Q2_mean_visit,Q3_entries,Q3_time,Q3_distance,Q3_mean_visit,Q4_tget_entries,Q4_tget_time,Q4_tget_distance,Q4_tget_latency_to_first_entry,Q4_tget_mean_visit,P4_tget_entries,P4_tget_mean_distance_from,P4_tget_time_getting_closer_to_zone,Q4_Pecent_time,P4_time_getting_closer,Fake_crossings_P1.P2.P3
103,12,2,4,3,"60,0","5,755","0,181",0,"0,0","0,000","0,0",3,"26,5","1,645","8,8",2,"18,0","1,595","9,0",1,"3,5","0,814","25,1","3,5",0,"0,643","32,9",6,55,0
75,39,7,4,3,"24,5","5,691","0,039",2,"2,4","0,483","1,2",3,"3,7","1,085","1,2",3,"12,4","2,631","4,1",3,"5,9","1,492","4,8","2,0",0,"0,363","11,4",24,47,"3,00"
22,16,2,1,2,"60,0","5,668","0,081",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",4,"38,3","4,029","9,6",3,"20,1","1,358","0,0","6,7",0,"0,406","34,2",34,57,1
50,7,1,2,2,"28,1","5,627","0,105",3,"4,6","1,153","1,5",2,"3,6","0,913","1,8",2,"5,5","1,045","2,7",3,"12,0","1,997","11,1","4,0",1,"0,291","13,7",43,49,1
73,13,2,3,1,"35,0","5,609","0,051",0,"0,0","0,000","0,0",2,"3,3","0,784","1,7",2,"5,2","1,195","2,6",4,"16,4","1,353","3,1","4,1",1,"0,347","11,8",47,34,0
176,27,5,2,3,"60,0","5,589","0,112",1,"6,9","1,071","6,9",1,"19,2","2,039","19,2",2,"19,4","1,518","9,7",2,"14,5","0,961","27,4","7,2",0,"0,400","28,3",24,47,"2,00"
67,11,2,3,3,"28,6","5,526","0,109",0,"0,0","0,000","0,0",5,"6,2","1,272","1,2",3,"5,0","1,145","1,7",2,"6,6","0,973","20,0","3,3",1,"0,466","14,7",23,51,0
112,9,1,5,1,"34,2","5,521","0,128",1,"3,3","0,731","3,3",2,"5,2","1,094","2,6",3,"9,8","1,834","3,3",2,"38,4","1,482","0,0","19,2",2,"0,353","15,7",66,27,0
34,11,2,2,2,"60,0","5,515","0,140",0,"0,0","0,000","0,0",1,"1,5","0,073","1,5",4,"39,4","3,333","9,8",2,"16,7","1,884","0,0","8,3",0,"0,515","34,2",28,57,0
152,26,5,1,3,"50,9","5,504","0,095",1,"25,1","1,340","25,1",0,"0,0","0,000","0,0",3,"10,7","1,385","3,6",3,"15,1","2,779","5,2","5,0",0,"0,352","25,7",30,50,"1,00"
